cartodb_id,the_geom,number,borough,eachdate
495,,2,STATEN ISLAND,2010-05-06
496,,24,BROOKLYN,2010-05-06
497,,79,MANHATTAN,2010-05-06
498,,20,QUEENS,2010-05-06
499,,55,BRONX,2010-05-06
500,,31,BROOKLYN,2010-05-07
501,,64,BRONX,2010-05-07
502,,35,MANHATTAN,2010-05-07
503,,52,QUEENS,2010-05-07
504,,1,MANHATTAN,2010-05-08
505,,3,BRONX,2010-05-08
506,,2,QUEENS,2010-05-08
507,,3,BROOKLYN,2010-05-08
508,,3,BROOKLYN,2010-05-09
509,,3,MANHATTAN,2010-05-09
510,,4,QUEENS,2010-05-09
511,,3,BRONX,2010-05-09
512,,26,BROOKLYN,2010-05-10
513,,19,MANHATTAN,2010-05-10
514,,42,QUEENS,2010-05-10
515,,64,BRONX,2010-05-10
516,,87,BRONX,2010-05-11
517,,75,QUEENS,2010-05-11
518,,20,MANHATTAN,2010-05-11
519,,10,BROOKLYN,2010-05-11
520,,33,MANHATTAN,2010-05-12
521,,22,BROOKLYN,2010-05-12
522,,1,STATEN ISLAND,2010-05-12
523,,21,BRONX,2010-05-12
524,,56,QUEENS,2010-05-12
525,,15,QUEENS,2010-05-13
526,,36,BRONX,2010-05-13
527,,54,BROOKLYN,2010-05-13
528,,34,MANHATTAN,2010-05-13
529,,32,BROOKLYN,2010-05-14
530,,28,BRONX,2010-05-14
531,,1,STATEN ISLAND,2010-05-14
532,,50,QUEENS,2010-05-14
533,,19,MANHATTAN,2010-05-14
534,,15,BROOKLYN,2010-05-15
535,,3,QUEENS,2010-05-15
536,,2,BRONX,2010-05-15
537,,2,BROOKLYN,2010-05-16
538,,2,QUEENS,2010-05-16
539,,1,BRONX,2010-05-16
540,,2,MANHATTAN,2010-05-16
541,,88,BROOKLYN,2010-05-17
542,,43,BRONX,2010-05-17
543,,8,MANHATTAN,2010-05-17
544,,1,STATEN ISLAND,2010-05-17
545,,12,QUEENS,2010-05-17
546,,43,BROOKLYN,2010-05-18
547,,1,STATEN ISLAND,2010-05-18
548,,21,MANHATTAN,2010-05-18
549,,73,BRONX,2010-05-18
550,,7,QUEENS,2010-05-18
551,,59,BROOKLYN,2010-05-19
552,,9,QUEENS,2010-05-19
553,,36,MANHATTAN,2010-05-19
554,,2,STATEN ISLAND,2010-05-19
555,,29,BRONX,2010-05-19
556,,1,STATEN ISLAND,2010-05-20
557,,6,QUEENS,2010-05-20
558,,48,BRONX,2010-05-20
559,,32,MANHATTAN,2010-05-20
560,,20,BROOKLYN,2010-05-20
561,,23,QUEENS,2010-05-21
562,,83,BRONX,2010-05-21
563,,34,BROOKLYN,2010-05-21
564,,6,MANHATTAN,2010-05-21
565,,5,QUEENS,2010-05-22
566,,1,MANHATTAN,2010-05-22
567,,1,BRONX,2010-05-22
568,,1,STATEN ISLAND,2010-05-22
569,,3,BROOKLYN,2010-05-22
570,,6,QUEENS,2010-05-23
571,,5,BROOKLYN,2010-05-23
572,,1,BRONX,2010-05-23
573,,51,BROOKLYN,2010-05-24
574,,16,MANHATTAN,2010-05-24
575,,12,BRONX,2010-05-24
576,,9,QUEENS,2010-05-24
577,,12,BROOKLYN,2010-05-25
578,,7,MANHATTAN,2010-05-25
579,,13,BRONX,2010-05-25
580,,1,STATEN ISLAND,2010-05-25
581,,8,QUEENS,2010-05-25
582,,13,BRONX,2010-05-26
583,,15,BROOKLYN,2010-05-26
584,,1,STATEN ISLAND,2010-05-26
585,,2,QUEENS,2010-05-26
586,,10,MANHATTAN,2010-05-26
587,,39,BROOKLYN,2010-05-27
588,,48,QUEENS,2010-05-27
589,,13,MANHATTAN,2010-05-27
590,,60,BRONX,2010-05-27
591,,5,QUEENS,2010-05-28
592,,18,BROOKLYN,2010-05-28
593,,16,BRONX,2010-05-28
594,,5,MANHATTAN,2010-05-28
595,,3,STATEN ISLAND,2010-05-28
596,,3,QUEENS,2010-05-29
597,,1,MANHATTAN,2010-05-29
598,,9,BROOKLYN,2010-05-29
599,,1,BROOKLYN,2010-05-30
600,,4,QUEENS,2010-05-30
601,,4,BROOKLYN,2010-05-31
602,,1,MANHATTAN,2010-05-31
603,,1,STATEN ISLAND,2010-05-31
604,,2,BRONX,2010-05-31
605,,17,BROOKLYN,2010-06-01
606,,10,MANHATTAN,2010-06-01
607,,12,BRONX,2010-06-01
608,,51,QUEENS,2010-06-01
609,,18,BROOKLYN,2010-06-02
610,,1,STATEN ISLAND,2010-06-02
611,,2,MANHATTAN,2010-06-02
612,,6,QUEENS,2010-06-02
613,,15,BRONX,2010-06-02
614,,7,BRONX,2010-06-03
615,,5,MANHATTAN,2010-06-03
616,,12,BROOKLYN,2010-06-03
617,,3,QUEENS,2010-06-03
618,,1,STATEN ISLAND,2010-06-03
619,,9,MANHATTAN,2010-06-04
620,,23,BROOKLYN,2010-06-04
621,,3,STATEN ISLAND,2010-06-04
622,,10,BRONX,2010-06-04
623,,17,QUEENS,2010-06-04
624,,5,QUEENS,2010-06-05
625,,1,STATEN ISLAND,2010-06-05
626,,3,BROOKLYN,2010-06-05
627,,1,MANHATTAN,2010-06-06
628,,1,QUEENS,2010-06-06
629,,1,BRONX,2010-06-06
630,,4,BROOKLYN,2010-06-06
631,,2,STATEN ISLAND,2010-06-06
632,,34,QUEENS,2010-06-07
633,,9,BRONX,2010-06-07
634,,5,MANHATTAN,2010-06-07
635,,26,BROOKLYN,2010-06-07
636,,2,STATEN ISLAND,2010-06-07
637,,4,MANHATTAN,2010-06-08
